symbol,date,open,high,low,close,volume,currency
IT0005508590,2026-01-02,104.9800,104.9800,104.4700,104.5300,3679000,EUR
IT0005508590,2026-01-05,104.5300,104.8200,104.4900,104.8200,2975000,EUR
IT0005508590,2026-01-06,104.7500,105.1400,104.7500,105.1000,4416000,EUR
IT0005508590,2026-01-07,105.3300,105.4900,105.2000,105.3000,7635000,EUR
IT0005508590,2026-01-08,105.2500,105.2500,105.0100,105.1800,16012000,EUR
IT0005508590,2026-01-09,105.3700,105.4500,105.2700,105.4100,5914000,EUR
IT0005508590,2026-01-12,105.3500,105.6400,105.3200,105.6400,5064000,EUR
IT0005508590,2026-01-13,105.4500,105.4900,105.3300,105.4900,14548000,EUR
IT0005508590,2026-01-14,105.4700,105.6300,105.4500,105.6200,5330000,EUR
IT0005508590,2026-01-15,105.6600,105.7900,105.5700,105.7900,1567000,EUR
IT0005508590,2026-01-16,105.7900,105.7900,105.5300,105.5800,553000,EUR
IT0005508590,2026-01-19,105.7000,105.7300,105.5500,105.6300,17397000,EUR
IT0005508590,2026-01-20,105.3200,105.3200,104.9900,105.2700,974000,EUR
IT0005508590,2026-01-21,105.4400,105.5000,105.0700,105.1500,2483000,EUR
IT0005508590,2026-01-22,105.1800,105.3300,105.1400,105.2300,2635000,EUR
IT0005508590,2026-01-23,105.1700,105.2800,105.1400,105.2800,54000,EUR
IT0005508590,2026-01-26,105.3200,105.5900,105.3000,105.5600,2004000,EUR
IT0005508590,2026-01-27,105.4500,105.5500,105.3600,105.5000,564000,EUR
IT0005508590,2026-01-28,105.6500,105.6600,105.5100,105.5100,6520000,EUR
IT0005508590,2026-01-29,105.5200,105.6500,105.5100,105.6500,7787000,EUR
IT0005508590,2026-01-30,105.5200,105.6300,105.4400,105.5300,482000,EUR
IT0005508590,2026-02-02,105.4300,105.5000,105.3100,105.3300,2053000,EUR
IT0005508590,2026-02-03,105.2800,105.3200,105.1500,105.1900,5427000,EUR
IT0005508590,2026-02-04,105.4800,105.4800,105.3500,105.4200,1508000,EUR
IT0005508590,2026-02-05,105.2400,105.4600,105.2100,105.4600,2878000,EUR
IT0005508590,2026-02-06,105.5700,105.6200,105.4400,105.4400,702000,EUR
IT0005508590,2026-02-09,105.5100,105.6000,105.3900,105.6000,1730000,EUR
IT0005508590,2026-02-10,105.7200,105.9400,105.6900,105.9100,1256000,EUR
IT0005508590,2026-02-11,105.9300,105.9500,105.8400,105.9500,12293000,EUR
IT0005508590,2026-02-12,105.9000,106.1400,105.9000,106.1000,1129000,EUR
IT0005508590,2026-02-13,106.1300,106.2800,106.0800,106.2000,24788000,EUR
IT0005508590,2026-02-16,106.3300,106.3700,106.1700,106.2100,696000,EUR
IT0005508590,2026-02-17,106.3300,106.4100,106.3100,106.3200,835000,EUR
IT0005508590,2026-02-18,106.2900,106.4200,106.2900,106.4100,10177000,EUR
